# CVS $Revision: $ $Author: $ -- Thu Jul 10 13:59:32 2014 -- reformated by prettylst.pl v1.51 (build 24365)

# Ability Category							Visible		Editable?		Change Pool?	Category of Object		Type of Object						Specific choices list																																																					Plural description for UI				Display Location
ABILITYCATEGORY:Affliction															CATEGORY:Affliction																																																																										DISPLAYLOCATION:Misc
ABILITYCATEGORY:Afflictions									EDITABLE:YES	EDITPOOL:NO		CATEGORY:Affliction		TYPE:Affliction																																																																						DISPLAYLOCATION:Misc

# Vow of Poverty
ABILITYCATEGORY:Vow of Poverty Stat Boost Choice		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	CATEGORY:Internal			TYPE:VowOfPovertyStatChoice																																																												PLURAL:Vow Of Poverty Stat Boost Choices		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Exalted Feat Choice					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	CATEGORY:FEAT			TYPE:Exalted																																																														PLURAL:Exalted Feat Choices				DISPLAYLOCATION:Feats



ABILITYCATEGORY:Anointed Knight Bonus Feat			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	CATEGORY:FEAT											ABILITYLIST:Blind-Fight|Cleave|Combat Expertise|Combat Reflexes|Diehard|Dodge|Endurance|Exalted Smite|Great Cleave|Holy Subdual|Improved Bull Rush|Improved Disarm|Improved Feint|Improved Overrun|Improved Sunder|Improved Trip|Mobility|Power Attack|Sanctify Martial Strike|Sanctify Weapon|Spring Attack|Subduing Strike|Whirlwind Attack									DISPLAYLOCATION:Feats

ABILITYCATEGORY:Anointed Knight Class Feature			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Anointed KnightClassFeatures																																																											PLURAL:Anointed Knight Class Features		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Apostle of Peace Class Feature			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Apostle of PeaceClassFeatures																																																											PLURAL:Apostle of Peace Class Features		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Beloved of Valarian Class Feature		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Beloved of ValarianClassFeatures																																																										PLURAL:Beloved of Valarian Class Features		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Celestial Mystic Class Feature			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Celestial MysticClassFeatures																																																											PLURAL:Celestial Mystic Class Features		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Champion of Gwynharwyf Class Feature		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Champion of GwynharwyfClassFeatures																																																										PLURAL:Champion of Gwynharwyf Class Features	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Defender of Sealtiel Class Feature		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Defender of SealtielClassFeatures																																																										PLURAL:Defender of Sealtiel Class Features	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Emissary of Barachiel Class Feature		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Emissary of BarachielClassFeatures																																																										PLURAL:Emissary of Barachiel Class Features	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Exalted Arcanist Class Feature			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Exalted ArcanistClassFeatures																																																											PLURAL:Exalted Arcanist Class Features		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Fist of Raziel Class Feature			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Fist of RazielClassFeatures																																																											PLURAL:Fist of Raziel Class Features		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Initiate of Pistis Sophia Class Feature	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Initiate of Pistis SophiaClassFeatures																																																									PLURAL:Initiate of Pistis Sophia Class Features	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Lion of Talisid Class Feature			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Lion of TalisidClassFeatures																																																											PLURAL:Lion of Talisid Class Features		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Risen Martyr Class Feature			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Risen MartyrClassFeatures																																																											PLURAL:Risen Martyr Class Features			DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Sentinel of Bharrai Class Feature		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Sentinel of BharraiClassFeatures																																																										PLURAL:Sentinel of Bharrai Class Features		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Skylord Class Feature				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:SkylordClassFeatures																																																												PLURAL:Skylord Class Features				DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Slayer of Domiel Class Feature			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Slayer of DomielClassFeatures																																																											PLURAL:Slayer of Domiel Class Features		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Stalker of Kharash Class Feature		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Stalker of KharashClassFeatures																																																										PLURAL:Stalker of Kharash Class Features		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Swanmay Class Feature				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:SwanmayClassFeatures																																																												PLURAL:Swanmay Class Features				DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Sword of Righteousness Class Feature		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Sword of RighteousnessClassFeatures																																																										PLURAL:Sword of Righteousness Class Features	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Troubadour of Stars Class Feature		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Troubadour of StarsClassFeatures																																																										PLURAL:Troubadour of Stars Class Features		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Vassal of Bahamut Class Feature			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Vassal of BahamutClassFeatures																																																											PLURAL:Vassal of Bahamut Class Features		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Wonderworker Class Feature			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:WonderworkerClassFeatures																																																											PLURAL:Wonderworker Class Features			DISPLAYLOCATION:Class Features

ABILITYCATEGORY:Prophet of Erathaol Class Feature		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Prophet of ErathaolClassFeatures																																																										PLURAL:Prophet of Erathaol Class Features		DISPLAYLOCATION:Class Features

#ABILITYCATEGORY:Barbarian Class Feature	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:BarbarianClassFeatures	PLURAL:Barbarian Class Features	DISPLAYLOCATION:Class Features
