# CVS $Revision: $ $Author: $ -- Thu Jul 10 13:59:32 2014 -- reformated by prettylst.pl v1.51 (build 24365)
# Original Entry by: BahamutDragon
# Date Entered: 2014-01

# Ability Category						Visible		Editable?		Change Pool?	Category of Object		Type of Object					Display Location
ABILITYCATEGORY:Incarnate Class Feature			VISIBLE:QUALIFY	EDITABLE:NO		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:IncarnateClassFeatures			DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Soulborn Class Feature			VISIBLE:QUALIFY	EDITABLE:NO		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:SoulbornClassFeatures			DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Totemist Class Feature			VISIBLE:QUALIFY	EDITABLE:NO		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:TotemistClassFeatures			DISPLAYLOCATION:Class Features


ABILITYCATEGORY:Incarnate Alignment Focus			VISIBLE:QUALIFY	EDITABLE:NO		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:IncarnateAlignmentFocus			DISPLAYLOCATION:Class Features

#ABILITYCATEGORY:Soulmeld			VISIBLE:QUALIFY	EDITABLE:NO			EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Soulmeld			DISPLAYLOCATION:Class Features

ABILITYCATEGORY:Incarnate Soulmeld				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:IncarnateSoulmeldApplied			DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Soulborn Soulmeld				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:SoulbornSoulmeldApplied			DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Totemist Soulmeld				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:TotemistSoulmeldApplied			DISPLAYLOCATION:Class Features


ABILITYCATEGORY:Spinemeld Warrior Class Feature		VISIBLE:QUALIFY	EDITABLE:NO		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Spinemeld WarriorClassFeatures		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Soulcaster Class Feature			VISIBLE:QUALIFY	EDITABLE:NO		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:SoulcasterClassFeatures			DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Sapphire Hierarch Class Feature		VISIBLE:QUALIFY	EDITABLE:NO		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Sapphire HierarchClassFeatures		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Necrocarnate Class Feature		VISIBLE:QUALIFY	EDITABLE:NO		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:NecrocarnateClassFeatures		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Ironsoul Forgemaster Class Feature	VISIBLE:QUALIFY	EDITABLE:NO		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Ironsoul ForgemasterClassFeatures	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Incarnum Blade Class Feature		VISIBLE:QUALIFY	EDITABLE:NO		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Incarnum BladeClassFeatures		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Incandescent Champion Class Feature	VISIBLE:QUALIFY	EDITABLE:NO		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Incandescent ChampionClassFeatures	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Totem Rager Class Feature			VISIBLE:QUALIFY	EDITABLE:NO		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Totem RagerClassFeatures			DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Umbral Disciple Class Feature		VISIBLE:QUALIFY	EDITABLE:NO		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Umbral DiscipleClassFeatures		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Witchborn Binder Class Feature		VISIBLE:QUALIFY	EDITABLE:NO		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Witchborn BinderClassFeatures		DISPLAYLOCATION:Class Features

ABILITYCATEGORY:Soulspark Alignment Subtype		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Soulspark Alignment Subtype		DISPLAYLOCATION:Race Traits
ABILITYCATEGORY:Lost Emotion					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Lost Emotion					DISPLAYLOCATION:Race Traits
